,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66
senang,24.4209,-3.81,4.36,88.43,37.13,-0.733748,629.673,770,-0.435567,322.17,-1.32978,510.34,527,-0.0516083,322.816,929.943,943,130.902,-0.0997435,51.5623,919.887,932,131.029,-0.0924471,49.0392,970.623,991,135.806,-0.150048,52.9062,742.132,833,258.737,-0.351198,0.976322,981.151,1000,137.222,-0.137362,53.0018,941.774,989,141.413,-0.33396,39.1457,981.151,1000,137.222,-0.137362,53.0018,945.094,989,140.536,-0.312416,40.8165,981.151,1000,137.222,-0.137362,53.0018,943.962,989,141.121,-0.319143,39.8929,1
senang,28.9232,-6.74,1.04,87.58,32.86,-1.3307,440.466,576,-0.414769,326.771,-0.500158,451.236,431,0.0736344,274.817,933.522,951,142.003,-0.123084,44.0198,915.87,943,139.902,-0.193925,43.2373,959.826,983,144.664,-0.160191,45.7948,565.239,500,200.178,0.325905,2.35796,977.37,1000,147.287,-0.153649,45.827,953.174,979,145.523,-0.177471,43.3376,978.283,1000,147.292,-0.147444,46.003,954.065,977,144.658,-0.158545,44.6373,957.261,978,144.233,-0.143789,45.8542,942.109,961,144.359,-0.130863,42.663,1
senang,27.1528,-6.23,0.52,87.51,31.78,-1.63204,481.328,688,-0.561314,368.194,-1.17568,495.956,451,0.141703,317.256,960.298,977,143.54,-0.116359,46.2084,928.021,945,138.602,-0.1225,46.3648,965.638,991,144.347,-0.1757,46.1972,518.213,334,228.276,0.806972,-0.260921,951.043,958,142.951,-0.0486702,45.1206,959.128,986,143.543,-0.187208,45.9641,978.745,1000,145.716,-0.145868,47.0038,951.043,976,142.86,-0.174699,45.2417,960.021,978,143.78,-0.125043,45.8235,940.681,959,141.934,-0.129068,44.3873,1
senang,25.0225,-7.25,1.04,87.4,31.04,-1.61292,428.552,558.5,-0.370842,350.414,-1.0068,479.94,478,0.00626789,309.514,953.592,977,139.505,-0.167795,48.131,942.184,958,138.668,-0.114059,46.9101,966.878,991,141.2,-0.170839,48.4954,442.735,334,196.861,0.552343,1.02279,973.612,1000,142.61,-0.185034,47.8809,913.714,933,136.425,-0.141365,44.1169,979.612,1000,142.712,-0.14286,49.0035,944.082,965,139.203,-0.150273,46.5449,956.408,978,139.799,-0.154449,48.3042,914.449,934,136.724,-0.142996,43.8535,1
senang,25.6878,-1.09,1.04,89.17,32.6,-1.38298,568.446,778,-0.543142,385.819,-1.50353,509.944,562,-0.155365,335.056,943.255,965,135.079,-0.16098,50.2062,915.647,927,131.861,-0.086098,49.0252,974.235,991,139.066,-0.120552,50.9065,980.412,1000,139.885,-0.140031,51.0039,980.412,1000,139.885,-0.140031,51.0039,917.078,934,133.406,-0.126843,46.9654,980.412,1000,139.885,-0.140031,51.0039,939.412,960,135.539,-0.151899,48.6338,976.804,1000,139.627,-0.166129,50.6061,942.745,960,136.329,-0.126568,48.167,1
senang,25.7291,-5.98,2.08,-90,32.84,-1.50318,438.621,594.5,-0.434851,358.466,-0.508616,405.404,377,0.0978776,290.199,945.979,963,141.197,-0.12055,46.4894,951.957,970,142.488,-0.126625,45.9378,962.872,982,143.662,-0.133144,46.5709,978.745,1000,145.716,-0.145868,47.0038,976.872,1000,145.714,-0.15872,46.6244,935.851,958,140.409,-0.157746,45.4723,978.745,1000,145.716,-0.145868,47.0038,949,975,142.116,-0.182949,45.8394,962.149,977,143.751,-0.103311,46.2994,950.319,973,142.892,-0.158727,45.0507,1
senang,28.1502,-5.98,0.55,88.34,33.19,-1.49254,449.336,601,-0.429488,353.127,-0.496825,379.608,352,0.0968161,285.159,943.375,963,139.981,-0.140197,46.4596,923.458,943,138.804,-0.140786,43.9696,961.5,982,142.416,-0.143944,46.8178,389.5,334,172.872,0.321047,5.7485,957.313,958,142.517,-0.004824,45.8152,937.375,959,140.15,-0.154299,44.9755,979.188,1000,144.193,-0.144338,48.0009,938.271,953,139.677,-0.105452,45.8189,963.604,978,142.885,-0.100751,46.5989,941.604,973,141.171,-0.222396,44.4492,1
senang,23.0901,-3.81,3.81,89.13,34.55,-1.32948,569.396,777,-0.552652,375.65,-1.47617,493.944,485.5,0.0250334,337.309,926.059,946,133.881,-0.148947,48.2188,920.275,938,133.906,-0.132373,46.9148,973.176,991,138.907,-0.128313,50.9184,264.725,250,116.267,0.126652,33.8559,980.412,1000,139.885,-0.140031,51.0039,919.294,932,133.282,-0.0953308,47.6371,980.412,1000,139.885,-0.140031,51.0039,916.706,937,132.183,-0.15353,48.7561,958.314,977,136.769,-0.136627,50.9412,919.882,937,132.91,-0.128791,48.3385,1
senang,26.7343,-2.99,2.86,-90,33.36,-1.10841,584.327,771,-0.526606,354.483,-1.41767,593.276,646.5,-0.180407,295.022,925.327,937,132.03,-0.0884124,49.8101,906.654,925,130.542,-0.140538,47.9334,978.788,1000,138.313,-0.153359,51.9059,201.654,112,212.022,0.422852,4.06845,980.788,1000,138.536,-0.138675,52.0005,902.135,912,129.396,-0.0762419,48.7146,980.788,1000,138.536,-0.138675,52.0005,891,908,129.494,-0.13128,46.0606,980.788,1000,138.536,-0.138675,52.0005,891,908,129.494,-0.13128,46.0606,1
senang,24.4578,-3.81,4.16,-90,35.34,-1.16115,563.802,744,-0.519811,346.661,-1.46447,549.964,632,-0.24584,333.696,946,964,135.006,-0.133328,49.7682,923.904,923.5,135.276,0.00298536,44.6194,965.731,982,136.49,-0.119197,51.8669,237.096,63,298.129,0.583963,1.02175,980.788,1000,138.536,-0.138675,52.0005,834.115,827,131.823,0.0539768,32.251,980.788,1000,138.536,-0.138675,52.0005,839.904,826,132.6,0.104855,32.3949,978.135,1000,138.359,-0.158033,51.6847,831.077,821,132.862,0.0758449,30.6849,1
sedih,14.4992,-9.87,9,-88.53,25.98,-1.54736,462.99,376,0.23231,374.456,-0.760192,463.408,438,0.0895923,283.596,940.157,967,137.563,-0.195133,45.8101,939.275,969,135.285,-0.219725,48.9925,962.529,984,137.508,-0.15614,50.7257,571.118,695,329.224,-0.376286,-1.08215,980.412,1000,139.885,-0.140031,51.0039,787.863,809,138.685,-0.152412,20.6751,980.412,1000,139.885,-0.140031,51.0039,914.667,939,138.054,-0.17626,40.1093,968.059,979,138.504,-0.0789952,50.4076,913.098,938,138.56,-0.179719,39.1908,2
sedih,18.1546,-8.9,8.06,88.64,25.99,-1.68666,435.188,369,0.171848,385.154,-0.49449,505.66,470,0.14757,241.648,939.788,959,134.824,-0.142493,48.6689,949.058,970,135.63,-0.154407,49.4753,971.346,991,137.304,-0.143141,51.835,543.635,566.5,299.186,-0.0764252,-0.864448,980.788,1000,138.536,-0.138675,52.0005,814.75,816,134.882,-0.00926735,26.3999,980.788,1000,138.536,-0.138675,52.0005,924.788,933,134.431,-0.0610837,46.0143,969.077,979,137.274,-0.0722869,51.3714,896.365,920,133.276,-0.177335,41.7843,2
sedih,15.9617,-10.35,7.92,87.06,25.18,-1.69674,438.089,361,0.192395,400.681,-0.313937,490.576,478,0.0541068,232.429,948.76,979,138.857,-0.217778,46.8753,951.84,984,139.391,-0.230718,46.7568,962.1,984,138.843,-0.157732,49.7721,524.66,611,282.585,-0.305536,-0.883091,980.02,1000,141.279,-0.141422,50.0011,798.22,800,132.14,-0.0134705,27.7405,980.02,1000,141.279,-0.141422,50.0011,923.08,935,136.165,-0.0875411,45.3311,965.32,979,139.481,-0.0980782,49.5115,893.18,909,132.903,-0.119034,43.6843,2
sedih,16.6956,-5.46,4.29,-90,20.97,-1.42835,411.842,272,0.389779,358.772,-0.508109,485.092,438,0.181334,259.697,956.25,987,139.02,-0.221192,45.9997,953.423,971,135.124,-0.13008,51.258,967.25,984,136.731,-0.122503,51.8248,772.058,838,239.2,-0.275679,3.9541,980.788,1000,138.536,-0.138675,52.0005,911.462,930,133.372,-0.138998,44.7355,980.788,1000,138.536,-0.138675,52.0005,914.212,940,135.788,-0.189917,41.9746,975.135,1000,138.054,-0.180114,51.4957,918.365,938,135.68,-0.144713,42.9385,2
sedih,19.1617,-10.83,10.39,-88.75,29.74,-1.57709,471.475,466,0.0148735,368.122,-0.956975,448.832,417,0.108175,294.265,963.255,986,138.898,-0.163754,48.7578,963.157,984,137.84,-0.151212,50.3484,980.412,1000,139.885,-0.140031,51.0039,442.137,455,263.329,-0.0488466,-0.504765,980.412,1000,139.885,-0.140031,51.0039,809.922,809,134.869,0.00683305,26.3834,980.412,1000,139.885,-0.140031,51.0039,909.275,923,133.103,-0.103119,45.7268,980.412,1000,139.885,-0.140031,51.0039,892.941,910,132.514,-0.128733,43.1321,2
sedih,15.305,-8.9,7.43,84.81,22.14,-1.4403,436.317,291,0.405251,358.585,-0.595766,466.416,419,0.172732,274.506,942.509,974,136.596,-0.230538,45.5467,952.283,970,134.857,-0.131376,50.2626,954.434,968,133.733,-0.101441,52.5811,652.34,815,332.155,-0.489712,-0.556871,976.509,1000,137.197,-0.171218,51.9856,889.019,906,131.599,-0.129037,41.6114,981.151,1000,137.222,-0.137362,53.0018,919.623,938,132.863,-0.138318,46.158,960.264,979,134.627,-0.139168,52.4548,925.925,936,132.858,-0.0758363,47.5299,2
sedih,16.954,-11.79,9.87,87.27,27.92,-1.53966,412.198,400,0.0341972,356.696,-0.263128,512.732,492,0.0873456,237.356,952.077,975.5,136.061,-0.172152,49.4773,951.327,969,136.267,-0.129694,48.9955,964.327,984,136.394,-0.144237,51.701,489.827,556,329.909,-0.20058,-1.46975,980.788,1000,138.536,-0.138675,52.0005,759.423,738,143.589,0.149197,14.8146,980.788,1000,138.536,-0.138675,52.0005,884.192,897,130.291,-0.0983005,43.4302,967.462,979,137.019,-0.0842109,51.4126,849.538,859,129.724,-0.0729358,37.3242,2
sedih,16.8158,-8.28,6.45,-88.49,24.1,-1.63295,413.881,231,0.445519,410.49,-0.134879,477.5,460,0.0751085,232.996,945,972,135.633,-0.199066,48.5757,959.038,985,136.75,-0.189847,49.9508,962.635,983,136.196,-0.14953,51.6342,444.981,467,281.261,-0.0782874,-1.01056,962.654,1000,137.492,-0.271624,49.6029,779.25,766,140.403,0.0943715,18.2364,980.788,1000,138.536,-0.138675,52.0005,894.942,898,133.778,-0.0228564,40.8389,952.154,979,134.969,-0.198906,51.218,885.346,880,135.295,0.0395149,37.1569,2
sedih,12.798,-13.21,11.79,86.42,25.58,-1.59631,412.861,354,0.154324,381.414,0.345685,425.508,396,0.138569,212.949,953.24,979,139.317,-0.184902,47.1579,962.58,984,139.925,-0.153081,48.2565,959.54,976,138.471,-0.11887,49.7754,430.82,385,314.904,0.145505,-1.41962,979.2,1000,141.278,-0.147227,49.8245,649.88,651,146.811,-0.00762888,7.96307,980.02,1000,141.279,-0.141422,50.0011,866.18,881,133.09,-0.111353,38.0769,961.98,979,138.906,-0.122529,49.6496,817,822,132.121,-0.0378442,30.6225,2
sedih,16.456,-7.77,5.96,-88.49,23.68,-1.67162,396.792,207,0.473053,401.207,-0.117884,454.924,455,-0.000330399,230.025,945.843,972,137.855,-0.189742,46.5822,932.922,944,134.661,-0.082269,48.543,965.255,983,137.998,-0.12859,50.5707,366.196,267,329.968,0.300624,-1.06377,978,1000,139.883,-0.157275,50.4764,779.392,793,142.625,-0.0954098,17.3687,980.412,1000,139.885,-0.140031,51.0039,904.137,914,135.232,-0.0729319,41.7084,961.941,979,137.576,-0.123995,50.4881,895.275,911,135.115,-0.116386,40.1319,2
terkejut,30.2584,-4.47,3.81,-89.31,37.41,-0.58662,658.787,803,-0.496977,290.18,-1.22594,539.38,553.5,-0.0455837,309.76,906.5,917,134.278,-0.0781961,44.535,924.84,950,136.321,-0.184564,45.4753,970.58,992,140.224,-0.152756,49.538,653.52,684,168.694,-0.180682,4.24211,980.02,1000,141.279,-0.141422,50.0011,950.92,989,146.14,-0.260572,38.0786,980.02,1000,141.279,-0.141422,50.0011,938.74,962,138.149,-0.168369,45.7879,974.56,1000,140.796,-0.180686,49.5419,934.32,953,137.258,-0.136094,46.1313,3
terkejut,28.2866,-3.98,2.99,87.71,34.47,-1.63699,545.36,763,-0.554516,392.486,-1.45316,549.296,551,-0.00520479,327.391,932.373,948,133.927,-0.116687,49.562,921.314,938,133.062,-0.125402,48.4237,967.627,983,138.213,-0.111224,50.7644,628.902,769,269.678,-0.519501,-0.661521,945.039,959,135.489,-0.10304,49.9656,888.725,935,139.024,-0.332854,34.3819,980.412,1000,139.885,-0.140031,51.0039,872.176,901,133.07,-0.216605,38.288,962.294,979,137.469,-0.121525,50.7348,867.529,901,132.549,-0.252515,38.0544,3
terkejut,31.7197,-3.64,1.49,-89.27,35.39,-1.66526,545.192,789,-0.61567,396.004,-1.37967,551.216,568.5,-0.0574615,300.793,916.882,927,132.415,-0.0764088,48.4363,936.549,950,135.13,-0.0995414,48.6278,960.961,983,137.382,-0.160423,50.5723,445.471,357,253.905,0.348439,-0.920363,962.725,1000,138.859,-0.268434,48.7032,869.961,883,133.885,-0.0973908,36.9134,980.412,1000,139.885,-0.140031,51.0039,853.118,864,133.386,-0.0815852,34.487,951.608,979,136.194,-0.201127,50.3362,852.176,860,131.737,-0.0593874,36.2407,3
terkejut,28.5337,0,0,-90,33.46,-1.8155,506.24,726,-0.522453,420.631,-1.49423,523.924,512.5,0.0347011,329.212,940.904,956,133.949,-0.112701,50.2904,944.712,964,135.354,-0.142503,48.9407,959.865,975,135.875,-0.111386,51.5199,284.596,215,234.542,0.296732,1.19753,940.596,959,133.093,-0.138278,51.6052,821.231,828,130.235,-0.051977,31.7682,980.788,1000,138.536,-0.138675,52.0005,820.712,824,128.374,-0.0256163,33.722,954.135,979,135.233,-0.183871,51.245,817.5,823,128.859,-0.0426822,32.6619,3
terkejut,32.1671,-3.27,0,87.51,32.57,-1.55214,444.026,595.5,-0.423925,357.313,-1.07483,443.124,425,0.0626111,289.469,890.592,900,134.58,-0.0699078,41.9214,897.673,914,136.076,-0.119981,41.3551,944.224,966,138.167,-0.157602,48.0802,350.694,334,236.124,0.0706996,1.19689,940.184,958,137.487,-0.129586,48.2132,726.49,715,146.561,0.0783962,12.3806,979.612,1000,142.712,-0.14286,49.0035,754.143,752,144.204,0.0148599,15.8643,952.673,978,139.401,-0.181682,48.0864,748.796,740,142.42,0.0617603,15.9381,3
terkejut,35.4145,-3.98,2.49,88.87,42.18,-1.41252,565.939,766,-0.544686,367.297,-1.38319,545.988,599,-0.163525,324.184,912.647,913,135.577,-0.00260325,42.946,918.961,916,136.836,0.0216374,42.5177,968.765,991,138.466,-0.160583,50.6234,238.608,39,363.29,0.549446,0.0214342,973.176,1000,139.743,-0.191949,49.6358,856.725,990,193.087,-0.690232,5.98796,980.412,1000,139.885,-0.140031,51.0039,842.118,955,180.807,-0.624324,7.77491,956.706,979,136.761,-0.163016,50.592,847.118,963,181.619,-0.638051,7.84219,3
terkejut,32.3147,-4.16,2.08,87.61,33.92,-1.2003,420.931,519,-0.306644,319.813,-0.353139,401.14,395,0.02479,247.681,859.787,863,135.431,-0.0237225,36.9375,841.128,853,139.253,-0.0852576,29.8075,951.191,974,142.047,-0.16057,46.3892,335.234,42,391.507,0.748989,-1.57687,968.021,1000,145.294,-0.220096,45.3994,883.277,979,185.687,-0.515509,10.0279,978.745,1000,145.716,-0.145868,47.0038,873.894,953,169.369,-0.467066,14.6595,951.851,978,142.298,-0.183762,46.1784,895.553,980,175.608,-0.480882,13.8461,3
terkejut,33.6829,-1.09,-1.04,-90,31.35,-1.64138,453.414,634,-0.493001,366.3,-0.863131,448.688,414,0.116849,296.861,855.826,859.5,136.907,-0.0268351,35.4958,886.761,905,140.333,-0.12997,37.1349,950.696,973,143.439,-0.155497,45.5868,140.022,120,159.701,0.12537,19.1972,975.413,1000,147.27,-0.166952,45.4577,729.326,715,154.332,0.0928267,10.6984,978.283,1000,147.292,-0.147444,46.003,758.674,752,143.555,0.0464903,17.3324,955.348,977,144.028,-0.150333,45.7408,736.261,717,152.728,0.126112,11.7848,3
terkejut,32.4637,-3.64,1.56,87.51,32.5,-1.36025,418.931,541.5,-0.374233,327.521,-0.584771,407.436,392,0.0588719,262.196,857.188,862.5,136.393,-0.0389498,34.4594,851.979,875,137.387,-0.167562,32.5112,951.75,974,140.406,-0.158469,47.6258,106.292,42,187.789,0.342362,19.4412,943.313,958,139.608,-0.105205,46.9803,793.375,747,174.908,0.26514,7.63709,979.188,1000,144.193,-0.144338,48.0009,809.458,778,169.256,0.185863,9.94398,939.25,957,138.674,-0.127998,47.4606,805.021,750,173.926,0.316346,8.41767,3
